一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,,边连通度,,,,,,,"特性: 存在割边时为1。
；定义: 无向连通图中边割集的最小边数。
"
,,,边集合,,,,,,,"定义: 图中所有边的集合。
；作用: 构成图模型的基本元素之一。
"
,,,运算封闭性,,,,,,,"定义: 运算结果仍在集合内
；作用: 保证集合成为代数结构的载体
"
,,,运行效率,,,,,,,"特点: 高
"
,,,连通分支,,,,,,边割集;点割集,"表示: 用p(G)表示图G的连通分支总数。
；定义: 图中结点集按连通关系划分的等价类导出的子图。
；应用: 用于图模型的分解。
"
,,,连通图,,,,,广度优先生成树,边连通度;点连通度,"特性: 结点关联边数影响一笔画可能性；图中任何结点与其自身连通，且任意两结点间可达
；定义: 图中任意两结点间存在路径的图；任意两顶点间存在路径的图；任意两个结点之间都连通的无向图
；条件: 欧拉图和半欧拉图的必要条件
；应用: 深度优先搜索的基本应用对象；BFS算法应用于连通图的遍历
"
,,,连通无向赋权图,,,,最小生成树,,,"定义: 具有权值的无向连通图。
"
,,,迭代求解法,,,,,,,"步骤: 迭代递推关系式，推测通项表达式，用数学归纳法证明。
；定义: 求解简单递推关系的基本方法。
；特点: 适用于简单递推关系。
"
,,,逆关系,,,,逆运算,,,"特性: 任意关系都可求逆，但不一定是函数
；定义: 将关系中的序偶顺序颠倒得到的关系；由原关系中的序对交换位置得到的关系
；运算: (R ∘ S)^-1 = S^-1 ∘ R^-1
；性质: 逆关系的逆关系等于原关系
"
,,,逆函数,,,,,,反函数;逆关系,"定义: 函数f的逆关系若为函数，则称为逆函数。
；条件: 原函数f必须为双射。
；性质: 逆函数也是双射。
"
,,,选排列,,,,,,,"定义: r<n时的排列；从重集中依次取出部分元素并按次序排列的有序排列
；条件: r<n
；特点: 部分元素参与排列
"
,,,递归策略,,,,,,,"定义: 将问题分解为子问题，递归求解并合并解的策略。
；应用: 用于分治策略中的子问题求解。
"
,,,递归论,,,,,,,"定义: 数理逻辑的分支，研究可计算性和递归函数。
；作用: 探讨计算理论的极限。
"
,,,递推公式,,,,,等比数列;等差数列,优化函数,"用途: 逐步计算最优分配，追溯最佳方案。
；定义: 表示数列通项与前若干项关系的计算表达式；用于计算最佳宽带分配方案的递推关系式。
；示例: 等差数列$a_{n}=a_{n-1}+d$，等比数列$b_{n}=b_{n-1}q$。
"
,,,递推关系,,,,常系数齐次线性递推关系,特解;初值,初始条件;迭代求解法;有限集合的计数问题;组合计算问题;递推公式,"特性: 求解复杂，属于离散数学前沿研究课题；通过幂级数形式简化递推关系的求解。
；用途: 揭示数列动态演变规律，求解组合计算问题；在计数问题中找到满足递推公式的数列通项表达式；生成函数用于求解递推关系；分析算法复杂度；应用递推关系求解最优值。
；定义: 数列通项与前若干项的计算表达式；复杂问题和动态问题求解的重要工具；描述递归算法复杂度的数学关系；各阶段状态之间的依赖关系。
；形式: f(n) = a f(n/b) + g(n)
；重要性: 在几乎所有数学分支中都有重要作用。
"
,,,通用性,,,,,,,"定义: 运算方法和性质适用于多种对象的性质。
；意义: 代数学核心要点之一。
"
,,,逻辑关系,,,,联结词,,,"用途: 用于精确研究命题运算机制。
；定义: 命题之间的抽象关系。
"
,,,逻辑思维能力,,,,,,,"作用: 通过命题逻辑培养。
"
,,,逻辑演算,,,,,,个体域,"解决: 引入量词和特性谓词来规范演算。
；用途: 判定和证明永真蕴含关系。
；问题: 不同个体域的谓词导致演算结果混乱。
；思路: 通过命题公式的逻辑演算进行求解。
"
,,,逻辑科学,,,,推理;判断;概念,,,"层次: 包括概念、判断、推理三个层次。
；定义: 研究人类思维基本形式、规则和规律的学科。
"
,,,逻辑结论,,,,,,,"表示: 记为$G_{1},G_{2}\cdots G_{n}\Rightarrow H$。
；定义: 由前提集合推出的命题公式$H$；由一组谓词公式在特定解释下为真时推出的谓词公式。
；条件: 前提集合在任意解释下为真；前提公式在解释下为真时，结论公式也为真。
"
,,,逻辑蕴含,,,,,,有效公式,"判断: 关键在于证明$Gightarrow H$为有效公式。
；记法: G\Rightarrow H
；定义: 若$Gightarrow H$为有效公式，则$G$逻辑蕴含$H$。
"
,,,逻辑表达式,,,,,,,"定义: 表示控制电路逻辑关系的数学表达式；描述逻辑电路输出与输入关系的数学表达式
；应用: 用于描述和控制电路的逻辑功能；用于全加法器的和位和进位计算
"
,,,遍历路径构造算法,,,,,,,"用途: 实现对欧拉图一笔画问题的遍历路径精确构造。
；特点: 明确易用，简单可行。
"
,,,避圈法,,,,,,,"步骤: 选择$n-1$条不构成回路的边。
；定义: 选择不构成回路的边构造生成树的算法。
；特点: 避免回路，计算量较大。
"
,,,重言式,,,,主析取范式,,,"关系: ¬G为永假式时，G为重言式。
；判断: 主析取范式含全部$2^n$个小项。
；定义: 在所有解释下真值均为真的命题公式；命题公式在任何情况下都为真的公式。
；条件: 主析取范式中包含全部小项。
"
,,,量词分配等值式,,,,等值关系,,,"定义: 量词与逻辑运算符的分配关系。
；形式: ∀x(P(x)∧Q(x))↔∀x P(x)∧∀x Q(x); ∃x(P(x)∨Q(x))↔∃x P(x)∨∃x Q(x)
"
,,,量词否定等值式,,,,等值关系,,,"定义: 表达量词否定的等值关系。
；形式: ¬∀x P(x)↔∃x ¬P(x); ¬∃x Q(x)↔∀x ¬Q(x)
"
,,,量词辖域,,,,谓词公式;量词,,,"定义: 量词作用变量的存在范围。
；特点: 是谓词公式的子公式，有括号则括号内为辖域，无括号则邻接子公式为辖域。
"
,,,量词辖域的收缩与扩张等值式,,,,等值关系,,,"定义: 量词辖域变化时的等值关系。
；形式: 包括多种形式，如∀x(P(x)∨S)↔∀x P(x)∨S等。
"
,,,链,,,,,,,"特性: 任意一条链都是分配格
；用途: 用于描述偏序集中部分元素的全序关系
；定义: 一种特殊的偏序集；偏序集中任意两元素都可比的子集
；特点: 表达串行执行结构
"
,,,阶,,,,,,因子,"定义: 群的元素个数，或元素的最小正周期；群或元素的阶是元素的周期或群的元素个数。
；性质: 有限群中元素的阶不超过群的阶；有限群的阶是其子群阶的倍数。
；分类: 有限阶和无限阶。
；应用: 用于分析群的结构和性质。
"
,,,阶段,,,,,,状态,"用途: 便于逐步求解最优解。
；定义: 将问题划分的不同步骤或部分。
"
,,,阿列夫,,,,,,,"定义: 开区间(0, 1)的基数。
；读法: 阿列夫
"
,,,阿列夫零,,,,,,,"定义: 与自然数集等势的集合的基数。
；读法: 阿列夫零
"
,,,限制性命题公式,,,,,,对偶式;内否公式,"特性: 包含一元运算'¬'和二元运算'∧'、'∨'。
；定义: 仅含命题变量、常量和联结词'¬'、'∧'、'∨'的命题公式。
"
,,,限界函数,,,,,,,"方法: 记录当前最优解，比较节点预期值，若不好则回溯。
；用途: 用于剪枝，优化搜索过程。
；定义: 剪去不能得到最优解的子树的函数。
"
,,,陪集,,,,正规子群;子群,,,"特性: 与子群元素运算后仍属于同一陪集；左右陪集基数相等且等于H的基数。
；用途: 用于描述群的子群结构。
；定义: 由群中元素与子群元素运算得到的集合；设\langle G,*angle是群，\langle H,*angle是其子群，aH=\{a*h|h\in H\}为左陪集，Ha=\{h*a|h\in H\}为右陪集；子群H在群G中的左陪集或右陪集。
；性质: 正规子群的陪集构成商群。
；应用: 用于群的分解和结构分析。
"
,,,隐含层,,,,,,,"定义: 深度学习模型中的多层结构，用于特征提取和变换。
；作用: 逐层提取和变换特征，提升分类或预测准确性。
；特点: 层数多，通常5至6层，有的超过10层。
"
,,,集合A,,,,,,集合B,"初始: 包含源点。
；作用: 存放已找到最短路径的结点。
"
,,,集合B,,,,,,,"初始: 包含除源点外的所有结点。
；作用: 存放剩余未处理的结点。
"
,,,集合之间的包含关系,,,,,,,"定义: 集合之间的一种关系，表示一个集合是另一个集合的子集。
；内容: 包括集合的相等与包含关系。
"
,,,集合之间的相等关系,,,,,,,"定义: 两个集合包含相同元素的关系。
；性质: 用于判断集合是否相同。
"
,,,集合定义,,,,,,,"方法: 用集合论构造自然数集；空集为0，后继运算定义其他自然数。
；用途: 用于描述函数的集合性质和关系。
；角度: 集合与关系
；内容: 函数的基本概念
"
,,,集合归纳表示法,,,,,构造性特点,,"特点: 构造性，适合计算机处理。
；应用: 定义概念、设计算法等计算机相关领域。
"
,,,集合法,,,,,,,"用途: 用于描述和实现关系的复合运算的方法。
"
,,,集合的基本运算,,,,运算性质,,,"内容: 集合的并、交、差等基本运算及其性质。
"
,,,集合的相等关系,,,,,,传递性;对称性;自反性,"性质: 自反性、对称性、传递性。
"
,,,集合的表示,,,,,,,"内容: 集合的不同表示方法。
"
,,,集合的表示方法,,,,,,,"种类: 包括枚举法、描述法、归纳法等。
；用途: 表示集合的不同方式。
；目的: 表示集合及其关系。
；包含: 文氏图等图示方法。
；内容: 描述集合的方式，如列举法、描述法等。
"
,,,集合表示法,,,,,,图形表示法;描述法;枚举法,"定义: 用集合的方法表示关系；枚举集合V和E中所有元素的表示方法。
；特点: 有时不直观，不便于计算机处理；精确但抽象，不易理解。
；类型: 包括枚举法和描述法。
；应用: 用于表示二元关系。
"
,,,集族,,,,,,,"特性: 幂集是一种特殊的集族。
；定义: 以集合作为元素的集合。
"
,,,零律,,,,,,,"定义: 对于任意集合A，有A∪U=U和A∩∅=∅；命题变元与逻辑常量的等值关系，结果为常量。
；示例: G∨1⇔1，G∧0⇔0
；应用: 用于集合运算的基本性质。
"
,,,静态宽带,,,,,,,"定义: 运营商承诺的最小宽带，预留给每个用户。
；特点: 固定分配，不随需求变化。
"
,,,非对称加密算法,,,,,,,"用途: 用于信息编码与加密。
；定义: 基于不同密钥进行加密和解密的算法。
；特点: 密钥成对，公钥加密，私钥解密。
"
,,,非平凡子群,,,,,,,"定义: 群$\langle G,*angle$除平凡子群外的其他子群称为非平凡子群。
；示例: 整数集$\langle Z,+angle$中，偶数集$\langle E,+angle$是其非平凡子群。
"
,,,非线性运算单元,,,,,,,"定义: 模型中的非线性转换单元。
；作用: 构建深层结构，提升模型表达能力。
"
,,,非门,,,,,非运算,,"特性: 单输入，输出为输入的反值。
；定义: 基本逻辑门之一，实现逻辑非运算。
"
,,,面着色,,,,,,色数;结点着色,"定义: 对平面图的各个面进行着色，使相邻面颜色不同；对平面图的每个面进行着色，使得相邻面颜色不同。
；相关: 与平面图的顶点着色密切相关。
；起源: 四色猜想。
；性质: 地图G是k-面可着色的，当且仅当其对偶图G*是k-可着色的。
；应用: 地图着色等平面图问题。
"
,,,韦尔奇•鲍威尔算法,,,,,,度数,"步骤: 1) 结点按度数排列；2) 用颜色对不邻接结点着色；3) 重复直到所有结点着色。
；定义: 著名的结点着色算法。
；思路: 按结点度数递减顺序排列，逐次用不同颜色对不邻接结点着色。
"
,,,预流推进算法,,,,最大网络流问题,,,"特点: 通过预流和推进操作逐步增加流量。
；类型: 最大流算法
"
,,,饱和结点,,,,,,,"定义: 与匹配中的边关联的结点。
；分类: X-饱和结点、Y-饱和结点。
"
,,,高维空间,,,,笛卡尔积,序偶,,"用途: 在关系模型中表示元素间关系。
；定义: 由两个集合组合成的空间，用于表示元素关系。
"
,,,鼓轮设计问题,,,,特殊图模型,二进制数码,欧拉回路,"定义: 设计鼓轮使每旋转一周产生不同二进制数。
；目标: 产生全部8个不同的三位二进制数。
；条件: 任意3个依次相连的数码组成的三位二进制数互不相同。
"
,,,逻辑运算联结词,,,,,,,"种类: 二元逻辑运算联结词有9个，包括常用5个和4个新的；包括否定、合取、析取
；定义: 用于逻辑运算的符号；用于构成命题公式的逻辑运算符；用于连接命题的运算符号
；完备性: 某些集合能等值表示任意命题公式
；示例: 如\neg, \wedge, \vee, \rightarrow, \leftrightarrow, \overline{\mathsf{V}}, \nrightarrow, \uparrow, \downarrow
；分类: 包括一元和二元联结词
"
,,,,"(n,m)图",,,,,,"特性: 结点和边数量明确。
；定义: 含有n个结点，m条边的图。
"
,,,,0-1法记分,,,,,,"用途: 用于动态排名，尤其在偏序关系下的比赛场合。
；定义: 一种将分数转换为0和1的记分方法。
；特点: 简化分数处理，便于动态排名。
"
,,,,PERT图,,,关键路径,,,"特性: 无回路，有唯一源点和汇点。
；用途: 确定关键路径和作业时间。
；定义: 有向连通图，边表示作业，顶点表示作业起止。
"
,,,,m元子集,,,,,,"特性: 是n元集合的子集之一。
；定义: 含有m个元素的子集。
"
,,,,n元集合,,,,,,"特性: 有$2^n$个不同的子集。
；定义: 含有n个元素的集合。
"
,,,,n阶剩余类加群,,,,,,"特性: 有限群。
；关系: 与n阶循环群同构。
；定义: 以n个剩余类为元素，模n加法为运算的群。
"
,,,,n阶循环群,,,,,n阶剩余类加群,"同构: 与n阶剩余类加群同构。
；定义: 生成元a的阶为n的循环群。
"
,,,,r-组合数,,,,,,"特性: 在生成函数中，r-组合数对应幂级数中x^r的系数。
；定义: 从集合中选取r个元素的不同组合数。
"
,,,,∩对⊕分配律,,,,,,
,,,,∪对⊙分配律,,,,,,"定义: 对于任意三个集合A,B和C，有A∪(B⊙C)=(A∪B)⊙(A∪C)。
；性质: 环积运算的基本运算性质之一。
；应用: 用于集合的环积运算中。
"
,,,,一笔画,,,边;结点;连通图,,,"定义: 用一笔不重复、不遗漏地画完图形。
；结论: 不满足条件的图需用多笔画成。
；条件: 连通图结点关联边数为偶数或仅两个奇数。
"
,,,,三层结构,,,,,,"定义: 将命题公式分为内、中、外三层的表达形式。
；特点: 规整，使用否定、合取、析取三个联结词。
"
,,,,不交图,,,,,边不交图,"定义: 两个图顶点集合无交集。
；条件: V1∩V2=∅
"
,,,,不变量,,,度数,边数;结点数,,"定义: 判定图同构的必要条件，如结点数、边数等。
；特点: 非充分条件，用于初步排除不同构图。
"
,,,,不是,,,联结词,,,"定义: 表示命题的否定的联结词。
；符号: ¬
"
,,,,不重并,,,,,,"定义: 两个图无公共边时的并图。
；条件: G1与G2不存在公共边
"
,,,,与运算,,,,,,"特性: 与集合代数的交运算性质相同；多输入，输出为输入的逻辑与。
；定义: 命题代数中的基本逻辑运算之一；逻辑运算之一，所有输入为真时输出为真。
"
,,,,两表合并,,,,,,"定义: 将两个二维表的数据合并成一个表的操作。
；实现: 通过关系集合的笛卡尔积运算实现。
"
,,,,中介点,,,,,路径长度,"定义: 在更新最短路径时作为中间参考点的顶点。
；作用: 用于更新源点到其他顶点的最短路径长度。
"
,,,,中介结点,,,,,,"使用: 逐次引入，更新路径记录。
；作用: 在算法中用于更新和优化路径长度。
"
,,,,中层,,,,,,"运算: 用于合取或析取运算。
；位置: 命题公式范式的中间层。
"
,,,,二元代数结构,,,群,,,"特性: 运算满足特定性质，如封闭性、结合性等。
；定义: 由集合和定义在该集合上的二元运算组成的结构。
；例子: 群、环、域等。
"
,,,,二元映射,,,,,,"特性: 特殊二元函数，输入两个对象，输出一个确定对象。
；定义: 从$A	imes B$到$C$的映射，称为二元运算。
"
,,,,二进制数码,,,,,,"用途: 用于计算机鼓轮输出。
；定义: 用0和1表示的数码。
"
,,,,互不相交,,,,,,"定义: 多个集合之间没有共同元素。
；应用: 用于加法原理中集合的划分条件。
"
,,,,互补对,,,,,,"定义: 一个命题变量及其否定，如𝑃和$
eg P$。
"
,,,,互逆元素,,,代数结构,,,"定义: 在代数结构中，两个元素运算结果为单位元的元素对。
；示例: 2和-2在加法中互逆，100和0.01在乘法中互逆。
"
,,,,五角格,,,,,,"特性: 与分配格不同构的格结构。
；相关: 用于判定分配格的存在性。
"
,,,,交,,,二元关系,,,"用途: 集合运算的一种，用于关系运算。
；定义: 两个集合共有的元素组成的集合；R∩S = {⟨x,y⟩ | (x R y) ∧ (x S y)}
；性质: 结果为同时属于R和S的序偶集合
"
,,,,代入规则,,,自由变量,,,"方法: 替换公式中自由变量为新变量，新变量不在原公式中约束出现。
；用途: 使个体变量以一种方式出现。
"
,,,,代数运算,,,,,,"定义: 使用抽象字母代替具体数进行运算，获得通用性结果。
；地位: 数学研究的核心
；起源: 算术运算
"
,,,,伪随机数生成,,,,,,"用途: 用于生成具有随机性质的数列。
；应用: 在算法设计和信息安全等领域广泛应用。
"
,,,,位置信息,,,,,,"定义: 点和线的具体位置
；特点: 在图模型中无关紧要
"
,,,,保补,,,,,,"特性: 布尔代数系统中的基本运算性质之一。
；定义: 在有补分配格中，保证每个元素存在唯一补元素的运算性质。
"
,,,,信息编码与加密,,,,,,"定义: 将信息转换为特定形式并保护其安全的技术。
；应用: 用于数据传输和存储的安全保障。
"
,,,,假言三段论,,,,,,"用途: 用于演绎推理
；定义: (G→H)∧(H→R)⇒(G→R)
"
,,,,假言推理,,,,,,"用途: 用于演绎推理中的假言推理。
；定义: G∧(G→H)⇒H 的永真蕴含关系。
"
,,,,兄弟关系,,,,,父子关系,"定义: 集合A上，x是y的兄弟的关系。
；示例: 用于说明关系的复合运算中的中间媒介作用。
"
,,,,充分条件,,,,,,"关系: P→Q中P为前件
；定义: P为真则Q必为真，P是Q的充分条件。
"
,,,,全总个体域,,,特性谓词,,,"特性: 包含所有可能的个体域。
；用途: 简化个体域的确定，避免分别指定。
；定义: 宇宙间所有个体域的集合；所有谓词和命题函数共用的统一个体域。
"
,,,,全称推广规则,,,谓词逻辑推理,,,"要求: 变量$x$不在$P(y)$中出现。
；定义: 若$P(y)$对个体域内每个个体为真，则$orall x\ P(x)$为真。
；形式: $P(oldsymbol{y})\Rightarrow\ oralloldsymbol{x}\ \ P(oldsymbol{x})$。
"
,,,,全称特指规则,,,谓词逻辑推理,,,"限制: 变量$y$不在$P(x)$中约束出现，$c$为个体常量。
；定义: 若$orall x\ P(x)$为真，则对任意个体$c$，$P(c)$为真。
；形式: $(1)orall x\ P(x)\Rightarrow\ P(y);\ (2)orall x\ P(x)\Rightarrow\ P(c)$。
"
,,,,全称量词,,,全称量化,蕴含式,量词否定;量词展开,"展开: 有限集时等价于各个体性质逻辑与。
；用法: 特性谓词作为蕴含式前件加入。
；真值: 所有个体满足性质为真时取真，否则取假。
；定义: 对谓词中变量进行全称约束的词；表示所有个体满足某性质的量词；表示所有个体均满足某性质的量词；表示所有个体都满足条件的量词。
；作用: 表示所有个体满足条件；在消除存在量词时，作为指导变元的基础。
；位置: 在∃型前束范式中排在存在量词右边。
；符号: ∀
"
,,,,公理,,,,,,"定义: 现代数学公理化系统中的处理规则。
；作用: 规定数学结构的性质和运算规则。
；示例: 代数结构的结合律、交换律、分配律。
"
,,,,关系,,,,,矩阵;关系图,"对象: 具有各自运算及运算性质的处理对象之一。
；应用: 用于抽象代数结构中的对象表示和运算性质研究。
"
,,,,关系图,,,有向图,,关系矩阵;序偶,"特性: 对称关系图中任何一对结点之间，要么存在方向相反的两条边，要么无任何边；反对称关系图中任何一对结点之间至多有一条边。
；构成: 由结点和有向边组成，结点表示集合元素，有向边表示序偶关系。
；用途: 表示有限集合上的二元关系；用于直观展示关系及其复合运算；表征关系性质的相关图特征；直观展示关系及其闭包；直观展示关系理论中的复杂关系。
；定义: 表示二元关系的有向图；关系的图形表示形式；表示关系的图形表示；用于表示关系的图模型。
；特点: 通过节点和边表示关系的元素和关系对。
；方法: 通过添加自环和双向边等方法求闭包。
；条件: 边存在当且仅当对应序偶在关系中。
；情况: A≠B时，A元素为起点，B元素为终点；A=B时，相同元素用有向小圆环表示。
；应用: 用于判定关系的自反性、对称性等基本性质。
"
,,,,关系图化简,,,哈斯图,,,"策略: 省略自环、简化边连接、删除冗余边。
；目的: 化简偏序关系图，得到哈斯图。
"
,,,,关系图法,,,,,,"步骤: 搭桥、拆桥、直接联结节点。
；定义: 用图表示关系及其复合运算的方法。
"
,,,,关系型数据库系统,,,关系数据模型,,,"地位: 主流数据库系统。
；特点: 基于关系数据模型。
"
,,,,关系复合运算,,,,,,"特性: 满足结合律。
；用途: 用于构造传递闭包等复杂关系。
；定义: 两个关系通过特定规则组合成新关系的运算。
"
,,,,关系的图示法,,,图模型,,,"用途: 补充集合表示法的不足。
；定义: 使用图模型表示关系的方法。
；特点: 直观展现关系。
"
,,,,关系的逆运算,,,,,,"定义: 对关系进行逆向操作的运算。
；来源: 由关系的集合运算与复合运算衍生。
"
,,,,关系矩阵,,,定理5.19;集合运算,转置矩阵;单位矩阵,补;差;并;交,"特性: 自反关系主对角线全为1，反自反关系主对角线全为0；对称关系的关系矩阵为对称矩阵；反对称关系的关系矩阵为反对称矩阵；可用于判定关系的五个基本性质；可通过逻辑运算与单位矩阵、转置矩阵结合使用；矩阵元素为1表示存在关系。
；用途: 通过矩阵运算得到关系的交、并、差、补结果；表示集合上的关系；表征关系性质；用于构造关系的闭包；用于计算关系的传递闭包。
；定义: 表示二元关系的矩阵；表示关系的矩阵形式；表示关系的矩阵，元素表示关系是否存在。
；性质: 矩阵运算结果与关系运算结果一致。
；示例: M_{H\cup S}=M_{H}\lor M_{S}; M_{H\cap S}=M_{H}\land M_{S}; M_{\bar{H}}=\bar{M}_{H}; M_{H-S}=M_{H}\land\bar{M}_{S}
"
,,,,关系矩阵法,,,,,,"步骤: 将关系矩阵做布尔积运算得到复合关系矩阵。
；定义: 用矩阵表示关系并进行运算的方法。
"
,,,,关系集合运算,,,,,删除操作;插入操作,"定义: 对关系数据进行集合操作的运算。
；应用: 实现插入（并运算）、删除（差运算）等操作。
"
,,,,关联矩阵表示法,,,,,,"用途: 实现图的计算机表示和处理。
；定义: 用矩阵表示图中顶点与边关联关系的图表示方法。
；特点: 精确，适用于计算机处理。
"
,,,,关联边,,,,,,"定义: 以某结点为端点的边。
；条件: 包含特定结点
"
,,,,关键字数,,,,,,"范围: k≤n≤m。
；定义: 结点中含有的关键字个数。
；排列: 按递增顺序排列。
"
,,,,内层,,,,,,"运算: 主要用于否定运算。
；位置: 命题公式范式的最内层。
"
,,,,内涵表示,,,,,,"方法: 描述法表达集合内涵。
；特点: 抽象性和普适性。
"
,,,,冯·诺依曼,,,自然数,,,"影响: 奠定集合论和数学理论体系基础。
；贡献: 用集合方式定义自然数。
"
,,,,几何意义,,,,,翻转;旋转,"定义: 置换群在几何变换中的对应关系。
；示例: 三元对称群S3对应正三角形的旋转和翻转。
；应用: 用于解释对称群和置换群的几何性质。
"
,,,,函数复合运算,,,,,,"用途: 构成置换群的基础运算。
；定义: 有限集上置换函数的复合操作。
"
,,,,函数的表示和运算,,,,,,"用途: 将集合表示和运算转化为函数形式。
；定义: 用函数形式表示和进行的运算。
"
,,,,函数问题的求解,,,,,,"来源: 由集合问题转化而来。
；目的: 通过函数工具解决集合问题。
"
,,,,分治递推关系,,,定理2.31,,,"定义: 描述分治算法复杂度的递推公式。
；公式: f(n) = a f(n/b) + g(n)
"
,,,,分类器,,,,,,"方法: 建立函数模型，通过训练逼近分类器函数。
；用途: 在深度学习中构造分类器，通过数据训练逼近目标函数。
；定义: 用于分类任务的函数模型。
"
,,,,划分块,,,,,,"定义: 集合划分中的子集，互不相交且并集等于原集合。
；特点: 每个划分块是非空的子集。
"
,,,,列指定,,,,,,"用途: 用于查询操作的定位部分。
；定义: 查询操作中指定表列的操作。
"
,,,,初值,,,,,,"定义: 递推公式中初始项的值。
；作用: 使递推公式能够进行递推计算。
"
,,,,删除操作,,,后继结点;红黑树性质;元组,子树指针,,"步骤: 查找位置、替换结点、调整树结构；查找删除位置，合并或借关键子，保持平衡；包括直接删除、借关键字、合并节点等步骤。
；定义: 删除指定表内的指定元组的操作；在B树中移除关键字的操作。
；过程: 删除结点后，从删除点的父结点向上维护路径，采取相应旋转策略调整树平衡。
；分解: 行选择定位和删除执行。
；目的: 在平衡二叉树中移除结点并维持平衡；保持红黑树性质
；条件: 删除后结点关键字数不小于⌊m/2⌋。
；位置: 可从任意节点删除关键字。
；特点: 基本操作单位是元组；复杂，需分多种情况处理，可能引发节点合并。
"
,,,,前域,,,,,,"定义: 二元关系R中所有序偶的第一元素构成的集合；关系的定义域。
；记作: domR
；示例: R∘S的前域是R的前域A。
"
,,,,化简,,,,,,"方法: 利用等值和永真蕴含关系。
；目的: 简化谓词公式。
"
,,,,单分图,,,相容关系,,弱分图,"特性: 满足自反性、对称性，不满足传递性。
；用途: 实现对图中所有结点的最大覆盖。
；定义: 有向图中，结点间至少有一个可达的单向连通子图。
"
,,,,单向连通分支,,,单向连通图,,,"特性: 是弱分图，但强调差异性时不称其为弱分图。
；定义: 有向图的子图，单向连通且不被更大子图包含。
"
,,,,双亲结点,,,,,合并结点,"作用: 在删除操作中下移关键字，参与结点合并。
；处理: 若关键字个数减到0且为根结点，则删除；否则需与兄弟结点合并。
"
,,,,双重否定律,,,补集,,,
,,,,反对称矩阵,,,,,,"定义: 矩阵中对称的两个元素中最多有一个等于1。
；条件: 关系R是反对称的当且仅当其关系矩阵为反对称矩阵。
"
,,,,反证法,,,矛盾式,,,"用途: 证明稳定婚配算法的稳定性；证明命题公式的逻辑推导；在前提条件较少且多为蕴含式或析取式时使用。
；步骤: 假设存在不稳定配对，推导出矛盾，证明稳定性；引入结论的否定作为附加前提，进行推理。
；定义: 通过假设命题不成立，推导出矛盾，从而证明命题成立的证明方法；一种间接证明方法，通过假设结论为假，推导出矛盾；将结论的否定作为附加前提引入，以增加可用的前提的证明方法。
；条件: 前提集合与结论的否定能推导出矛盾式。
；特点: 适用于无从下手的情况，增加前提条件。
"
,,,,叔侄关系,,,,,,"定义: 由兄弟关系和父子关系合成的关系。
；示例: 通过y的传递，x与z形成叔侄关系。
"
,,,,取子游戏,,,,,,"定义: 通过取子来决定胜负的游戏类型。
；实例: 尼姆博弈是典型取子游戏。
"
,,,,受限汉诺塔问题,,,,,,"用途: 展示复杂问题的算法设计。
；描述: 在特定限制下移动汉诺塔盘子。
；特点: 增加额外约束，需优化策略。
"
,,,,变形,,,,,,"方法: 利用等值和永真蕴含关系。
；目的: 改变谓词公式的形式。
"
,,,,变形化简律,,,,,,"用途: 简化命题公式的等值演算过程。
；定义: ¬G⇒G→H 和 H⇒G→H 的永真蕴含关系。
"
,,,,变形附加律,,,,,,"用途: 简化命题公式的等值演算过程。
；定义: ¬(G→H)⇒G 和 ¬(G→H)⇒¬H 的永真蕴含关系。
"
,,,,可消去元,,,,,,"特性: 可消去元的逆元素在结合律下唯一。
；定义: 在代数系统中，若元素a满足特定条件，则称为可消去元。
；条件: 若a是左（右）可逆元，则a是左（右）可消去元；若a是可逆元，则a是可消去元。
"
,,,,可逆元,,,,,可消去元,"特性: 逆元唯一
；定义: 在代数结构中，存在逆元的元素。
；条件: 存在单位元且运算满足结合律
"
,,,,可重复$r$-组合数,,,定理1.18,,,"定义: 可重复$r\cdot$-组合的个数。
；计算: 基于重集计算，公式为C(m-1+r, r)。
"
,,,,可重复$r\cdot$-组合,,,,,,"特性: 元素可重复。
；定义: 从重集中任意取出r个元素组成的子重集。
"
,,,,右单位元,,,,,,"关系: 若存在单位元，则唯一且为左、右单位元。
；定义: 与任意元素右运算结果为该元素的元素。
；特点: 存在性取决于具体运算。
"
,,,,右逆元,,,,,,"特性: 不唯一，若运算不满足结合律
；定义: 在代数结构中，若存在元素y，使得对所有x有x*y=单位元，则y为右逆元。
；条件: 存在单位元
"
,,,,右零元,,,,,,"关系: 若存在零元，则唯一且为左、右零元。
；定义: 与任意元素右运算结果为自身的元素。
；特点: 存在性取决于具体运算。
"
,,,,叶子结点,,,,,删除操作,"特性: 都是底层结点。
；操作: 删除时，若关键字个数足够则直接删除，否则需调整或合并。
；定义: 树结构中无子节点的终端结点。
；位置: 位于树结构的末端；处于同一层。
；特点: 插入操作的唯一位置，删除操作的讨论起点。
"
,,,,合取式,,,否定联结词,,否定;合取联结词;文字;短语,"定义: 有限个文字的合取，称为短语；只有否定层与合取运算层的两层结构表达式；组成析取范式的基本构件，由多个命题变元通过合取运算组合而成。
；问题: 种类多且存在冗余，导致析取范式形式不唯一。
；特点: 外层增加析取运算层形成析取范式。
；结构: 两层结构，内层否定，外层合取。
"
